"Type","County","State","lat","lon"
"Pizza Hut","Graham","TX",33.0962,-98.5899
"Pizza Hut","Dexter","MO",36.8036,-89.9747
"Pizza Hut","Milwaukee","WI",43.1183,-88.0492
"Pizza Hut","Murfreesboro","TN",35.8362,-86.3742
"Pizza Hut","Johnstown","PA",40.2815,-78.8635
"Pizza Hut","Fordyce","AR",33.8127,-92.4242
"Pizza Hut","Marshall","MI",42.2719,-84.9786
"Pizza Hut","Clifton","NJ",40.8393,-74.1617
"Pizza Hut","Columbia","MS",31.2592,-89.8353
"Pizza Hut","Asheville","NC",35.5879,-82.4935
"Pizza Hut","Auburn","IN",41.3667,-85.0697
"Pizza Hut","Toledo","OH",41.6926,-83.5672
"Pizza Hut","Monroe","GA",33.7929,-83.7314
"Pizza Hut","Franklin","TN",35.9164,-86.8376
"Pizza Hut","Ontario","CA",34.0778,-117.67
"Pizza Hut","Wadesboro","NC",34.9688,-80.0716
"Pizza Hut","Hampton","GA",33.4496,-84.3393
"Pizza Hut","Cortez","CO",37.3488,-108.57
"Pizza Hut","Mayfield","KY",36.7281,-88.6303
"Pizza Hut","Lincoln Park","MI",42.2495,-83.174
"Pizza Hut","Durant","OK",33.9937,-96.388
"Pizza Hut","Aransas Pass","TX",27.9106,-97.1523
"Pizza Hut","Dunnellon","FL",29.0548,-82.4533
"Pizza Hut","Fullerton","CA",33.8702,-117.942
"Pizza Hut","Lumberton","TX",30.2553,-94.1981
"Pizza Hut","Leland","NC",34.2348,-78.0026
"Pizza Hut","Torrington","WY",42.0572,-104.171
"Pizza Hut","Oshkosh","WI",44.0084,-88.5818
"Pizza Hut","Elk City","OK",35.4117,-99.4183
"Pizza Hut","Lincoln","IL",40.1576,-89.3892
"Pizza Hut","Manhattan","KS",39.1856,-96.5738
"Pizza Hut","Tomahawk","WI",45.484,-89.7292
"Pizza Hut","Medina","NY",43.2068,-78.4041
"Pizza Hut","Fort Madison","IA",40.6267,-91.3399
"Pizza Hut","Dillon","SC",34.4274,-79.3633
